Soil_Type,Temperature,Rainfall,Humidity,Sunlight,Season,Crop_Type,Soil_Moisture,Fertilizer_Required,Water_Required,pH_Level,Organic_Matter,Nutrient_Content,Soil_Compaction,Is_Suitable_For_Agriculture
Loamy,15.1779658,398.4723723,52.75961338,7.304103585,Summer,Wheat,24.20728725,63.42923937,111.8578382,6.919083138,4.543568269,Low,2.176511183,1
Loamy,23.18593057,1379.611688,86.78280023,11.72863355,Monsoon,Rice,16.34885609,69.46132669,70.37689686,6.567790273,2.423461367,Medium,1.143790838,1
Sandy,20.42965109,294.6140167,44.33250204,7.692601108,Winter,Barley,54.85118995,98.05020656,119.3823639,7.492413346,4.83308191,Medium,1.348557142,1
Loamy,33.16441523,1494.580989,73.19116718,11.00197193,Winter,Rice,15.49750605,36.78816194,51.37355664,5.851536085,2.100550132,High,2.253019212,1
Clay,27.05843724,1058.616542,76.93354793,6.87350057,Winter,Rice,25.75489988,45.66985147,77.52587952,6.225374152,4.405921223,Medium,2.001907807,1
Sandy,25.13005643,761.5286302,60.81082081,5.27230124,Monsoon,Corn,53.49945034,68.69698219,100.7044732,6.344150776,2.18804806,High,2.430618668,0
Loamy,20.33143072,463.7739306,42.09525983,9.00759189,Monsoon,Wheat,63.2311748,50.14131251,55.00532605,5.795574662,2.576187439,High,1.746587217,1
Clay,26.00655995,1108.842346,81.29190589,9.369249354,Winter,Rice,69.07851636,86.67473485,138.0477064,6.329245286,3.367183529,High,2.22938918,0
Loamy,28.16296973,1284.958123,82.49826167,7.57516231,Monsoon,Rice,60.71214052,91.63597538,114.4105004,5.647217814,4.931820064,High,2.471179673,0
Clay,27.12471856,839.6626691,61.62452957,6.769226562,Summer,Soybean,31.46694364,27.64796018,49.3387255,6.643669586,4.872456888,High,1.12641661,1
Sandy,21.66953681,210.1576523,54.1130374,8.482516424,Summer,Barley,26.67762595,58.6472569,37.3696781,7.051455453,4.737490476,Low,1.305012767,0
Loamy,23.61632493,755.3842209,64.18218837,4.326671418,Winter,Soybean,13.40930761,29.46650713,127.8215339,5.547272583,2.3670602,High,1.383414232,1
Loamy,21.18581794,1267.89519,85.77650048,9.91109891,Winter,Rice,64.28354859,22.6579847,120.755624,5.888911825,2.907833084,Low,1.12550464,1
Sandy,19.61952569,554.8094642,58.46585516,9.049782374,Winter,Corn,41.49318126,62.04597699,116.215997,5.679396982,1.893226425,Low,1.033494193,0
Loamy,26.09624225,1278.141502,80.09112774,4.071300393,Summer,Rice,58.20809311,33.82810509,74.71188287,7.293317314,4.344696158,Low,2.073938715,0
Clay,18.72857957,483.2951375,55.55344628,4.714740997,Summer,Wheat,62.8486566,69.4354871,65.7774149,6.967806774,1.961036043,Medium,2.447757597,1
Sandy,29.78875046,571.9416804,50.527604,6.683925979,Summer,Corn,33.46149616,63.89327516,111.8631812,6.067175243,4.466349083,Medium,1.086614949,0
Clay,30.72036365,1305.221885,80.85978801,9.461020426,Summer,Rice,17.73284597,26.61568021,85.18955972,5.792664845,1.443691304,Medium,1.552384938,0
Loamy,18.59473604,357.1830709,54.75576464,7.328347566,Summer,Barley,17.74620307,34.95746172,51.88459462,5.527650174,2.877748933,High,2.153265507,1
Sandy,19.84169482,556.1679574,59.61683419,4.719934431,Monsoon,Corn,67.5078721,70.34410325,55.847568,6.686048908,3.19560507,Medium,1.530483845,1
Clay,20.33962772,838.9593456,67.19532148,7.867763203,Summer,Soybean,44.06935414,91.27687712,66.83686301,6.297552847,4.095413876,High,1.341049185,0
Loamy,23.16499298,1184.184329,72.79297864,10.20858863,Monsoon,Rice,60.21409345,54.73776109,96.83073591,6.767723881,4.630502797,High,1.384632694,0
Sandy,26.29811453,554.2249882,59.3133688,7.639085224,Summer,Corn,13.63650113,92.97685528,148.1755821,6.410495736,4.359670611,Low,2.355102075,1
Sandy,20.12503435,528.479672,60.66008638,6.844943294,Winter,Corn,66.20507382,23.87815251,57.26749442,5.746614518,2.031106377,Medium,1.291639953,1
Loamy,20.01801953,460.6693009,47.46404738,11.46640563,Monsoon,Wheat,37.35808958,39.95477124,123.9714129,6.328841525,1.194036711,High,1.857899637,0
Sandy,20.65875154,620.9529306,58.93018112,9.627504795,Monsoon,Corn,67.77082837,38.76508942,96.66128585,6.087340135,4.942400525,High,2.070105781,0
Loamy,29.43634129,666.2346195,68.81934177,6.093121067,Winter,Soybean,42.92845229,51.67113535,61.12584017,6.644924721,4.320099322,Low,2.373217103,0
Clay,11.49974502,433.6341322,51.19606508,5.795124802,Summer,Wheat,17.20792734,81.82783934,83.66572901,7.278294281,1.547161369,Low,2.3544875,0
Loamy,22.31943449,383.2527582,55.91264745,8.163991326,Winter,Wheat,45.83298008,40.93986844,79.37007971,6.730377165,2.734119991,Medium,1.766770341,1
Loamy,29.89470178,1207.169974,80.21871438,10.43390832,Winter,Rice,53.75457378,85.47521582,77.53491178,5.610982091,1.05606877,Low,1.155791445,1
Clay,19.73598311,331.8062492,46.89655782,10.29830242,Summer,Wheat,28.56649329,73.5930579,148.2676868,6.967204472,1.849869766,High,2.271840173,1
Clay,26.80510973,1073.095175,85.53778289,9.615056288,Winter,Rice,18.68232247,92.41697476,43.80608997,7.116093923,3.595965768,High,2.251565339,0
Clay,14.52933563,389.3600875,56.63101156,4.82901322,Monsoon,Wheat,35.31660672,94.99257686,83.07217093,7.491139203,4.837056428,Medium,2.117176801,1
Loamy,20.00839405,392.0130633,48.76648869,7.560940086,Summer,Wheat,20.79819488,44.44050741,72.84706307,7.107881303,4.706811991,High,1.604238537,1
Loamy,19.75145305,522.7101453,62.35276327,6.064031426,Winter,Corn,25.71954235,79.65709613,49.53828113,6.795242045,2.234491939,Medium,1.970864737,1
Clay,24.52134467,1389.078074,87.22806581,7.572271654,Summer,Rice,13.69372265,33.33152982,76.60723134,7.142063081,3.49784727,High,1.215110403,1
Sandy,18.43253021,631.5711771,51.57179097,5.286433364,Summer,Corn,32.1928036,99.74984307,74.78664366,7.404779881,4.865748354,High,1.429034564,1
Sandy,27.27165257,574.8629285,63.0267885,5.862469478,Summer,Corn,29.88719665,68.91591727,121.6193804,5.939979308,1.286080898,Low,1.133322772,1
Clay,28.75297159,610.5681247,57.73336152,9.619540741,Summer,Soybean,36.31724237,66.68195322,76.28813031,6.047004901,1.990867927,High,1.928092478,0
Loamy,13.61351911,392.0939506,47.25419659,8.899366117,Monsoon,Wheat,48.45170982,45.62241146,54.09396659,7.402437114,1.664321707,High,1.175700574,0
Loamy,10.67123134,350.8002128,59.35705792,5.987421093,Summer,Wheat,55.73507841,42.21691116,67.66331145,5.610657226,2.441574995,Medium,1.598880564,0
Clay,18.62267631,456.5456694,40.73879687,4.895771217,Winter,Wheat,69.21469063,36.83236764,145.3689854,5.891939304,2.912431452,High,1.017685507,1
Loamy,29.60206683,762.2579971,66.61331879,8.52547265,Winter,Corn,54.63333132,28.73409724,88.5896802,5.750034759,2.85892133,Low,1.055714343,0
Loamy,18.06982353,340.3934451,59.53077509,6.102849447,Summer,Wheat,64.60652874,69.90002704,54.1688393,6.172454791,3.993455007,High,2.226556198,1
Loamy,20.24271022,688.7965803,54.43100381,9.922752227,Winter,Corn,54.30514894,85.32969988,39.27212137,7.105883802,3.667613033,High,1.927344891,0
Loamy,17.19333899,299.4559668,50.06580438,8.801864316,Monsoon,Barley,43.89712834,94.55739297,147.2043055,5.520832285,1.267213841,Low,1.591225218,1
Clay,12.52615899,388.4314876,59.89614852,8.726563726,Winter,Wheat,45.61606138,22.11573041,136.2904977,7.425088938,4.371483523,Low,2.219230056,1
Clay,20.50808422,488.3556768,56.55687909,9.524517341,Summer,Wheat,27.02354409,26.04021037,135.454761,7.445221324,3.537252212,Medium,1.867316724,0
Loamy,18.3818788,398.9704483,45.98606885,8.130509905,Summer,Barley,59.1606024,50.31539752,35.18208088,6.941111648,3.455785718,High,1.508055065,1
Loamy,24.84927559,1281.331377,87.77537777,8.22270065,Winter,Rice,25.46106419,55.48518629,71.44000359,7.32109103,3.906657185,Medium,1.704210429,0
Clay,22.55766793,1422.145999,83.51925042,4.776531467,Monsoon,Rice,22.74792475,72.51148268,112.9449647,5.863934223,1.641934856,Medium,2.386276218,1
Loamy,26.18384379,732.5352848,59.49889178,8.571398079,Monsoon,Corn,53.70438987,54.08847972,39.62931907,6.481955814,1.418140476,High,1.988230024,1
Sandy,22.9322368,366.7043401,53.13288867,9.607827375,Winter,Barley,18.17442602,42.88289885,36.99118313,5.748271114,2.36750215,Medium,1.609880659,0
Clay,23.97066745,571.9020379,50.21351107,4.079536124,Monsoon,Soybean,60.67010023,99.49586515,70.1327009,6.458248191,3.178712283,Medium,2.391560684,0
Loamy,20.46935299,585.6984706,58.44083757,6.600136973,Winter,Corn,52.87419531,65.88875208,91.32335507,7.432814997,1.810268608,Medium,2.417727041,1
Loamy,21.09956217,400.4025487,40.8057913,6.61676366,Winter,Wheat,56.70163865,59.07963275,48.73447653,5.854190447,2.281148807,Low,2.090763061,1
Loamy,27.71930815,523.306226,52.08922074,11.20445792,Summer,Corn,46.64854603,45.40009685,66.08961451,5.643718532,4.479680845,Medium,1.493630522,1
Loamy,34.35722426,1104.278874,75.33533791,8.338902176,Winter,Rice,63.0066309,38.87984487,135.0263764,7.253873615,3.423012847,Medium,1.539869048,0
Loamy,22.12751247,304.5151971,48.42509593,4.377659781,Winter,Barley,15.82233936,85.34076102,136.0998666,7.310591583,2.012234098,Medium,2.298715316,1
Loamy,18.19268452,677.0661805,69.43723076,8.291460749,Monsoon,Soybean,38.37092859,46.1702603,45.50189854,7.024706029,3.786773067,Low,2.35407771,1
Loamy,21.05235353,257.4203566,45.56342408,11.96693737,Winter,Barley,46.38674207,38.94329995,122.5875763,6.427632977,3.331487096,High,1.758183842,1
Clay,11.25981952,382.1762171,59.7448985,10.08902983,Summer,Wheat,52.63550903,66.32612514,42.73239066,5.636463782,2.742448482,High,2.44882004,0
Clay,21.01710165,316.6106432,50.72571507,10.64216311,Winter,Wheat,52.28748001,60.92155818,106.3199371,7.066788061,3.765700168,High,1.598802898,1
Loamy,23.13163007,337.519829,56.52927464,4.731927831,Monsoon,Wheat,38.76296107,97.12780312,103.0323002,6.801339391,3.115184374,High,2.123950539,0
Loamy,26.98092051,1306.648776,70.19269923,11.75814439,Monsoon,Rice,45.94637548,20.92780995,34.36622643,7.418489916,3.227744568,High,2.377207547,0
Sandy,21.46025376,734.4684499,57.35985055,7.786269805,Summer,Corn,10.8081441,53.1912019,45.99326101,7.136599841,4.32416821,Medium,1.862338042,1
Loamy,23.89129125,364.9899079,51.25838087,9.052873121,Monsoon,Wheat,61.26828479,25.93754352,138.8256725,7.328965814,3.217931995,High,1.35633333,1
Clay,27.07084223,626.7703217,50.78139839,11.78120955,Summer,Soybean,62.66680915,54.25655243,143.1482057,7.47207947,1.845759823,Medium,1.56553783,0
Clay,23.36862324,1393.839278,89.59819111,4.725545914,Monsoon,Rice,22.86944535,38.45983795,137.2553185,7.278042489,4.741388996,Low,1.05739813,1
Loamy,27.82304298,532.7155122,59.01848228,11.43518216,Winter,Soybean,52.65275652,51.54894283,67.58937555,7.233048544,3.983903691,High,1.430428182,0
Loamy,13.2130206,335.7718925,46.40987025,9.968562814,Summer,Wheat,46.02910017,71.79068889,70.67490496,7.433380763,3.929637797,Medium,1.246828315,1
Sandy,19.282267,654.7532752,53.18473777,8.457059594,Monsoon,Corn,60.37544037,38.47707853,81.3172925,5.883903452,1.299913539,Low,2.328508079,1
Sandy,26.27822936,585.5840125,55.25313445,7.34467912,Monsoon,Corn,28.59943309,97.65087245,90.98743035,5.597664941,4.157552674,High,1.069459919,1
Loamy,33.04494092,1341.959572,89.3474512,9.445838797,Summer,Rice,36.33653668,59.79169658,42.76442918,6.584927796,2.978776178,Low,1.586958635,1
Clay,24.31649937,1381.549892,77.65613106,7.512722257,Summer,Rice,35.62441532,32.46363713,59.57782373,7.494138116,1.136548359,Low,1.779446702,0
Loamy,21.23770017,1071.476382,82.23649416,5.765234999,Winter,Rice,29.96396884,59.66089816,148.2692641,6.792348912,1.704757484,High,1.707957344,1
Sandy,24.04298926,385.1050349,42.43521662,9.181033538,Winter,Barley,59.85883111,54.29900327,79.84066379,6.741055995,1.746920215,High,2.366155122,1
Sandy,19.75305402,542.2643382,56.87208016,8.328860937,Summer,Corn,38.46765533,33.98970203,62.75041525,6.708485429,4.900956463,Low,1.491225348,1
Sandy,28.7077766,764.094626,52.12711393,10.29717207,Summer,Corn,58.31275283,27.04937354,96.51359643,6.129316219,4.450060838,Medium,1.341614484,0
Clay,22.28833866,469.7221933,53.10382213,4.035534514,Summer,Wheat,16.96420419,88.77593399,130.0320635,5.685985378,4.419245658,High,1.283102792,0
Sandy,29.54902039,609.6948837,62.83321546,9.503356508,Monsoon,Corn,45.43573897,95.48623263,94.02484041,7.447543064,1.85086837,Medium,2.216489737,1
Loamy,24.49116081,1066.814564,85.07357862,4.702051913,Monsoon,Rice,16.89156502,61.1898409,53.53536665,7.409860362,1.866347708,High,1.599292808,1
Loamy,15.45196154,367.1794808,40.15824264,11.62913694,Summer,Barley,15.54739213,81.0807164,90.04502919,6.682763445,1.049238312,Medium,1.887829044,0
Loamy,27.33261821,1323.673138,75.47942133,6.967327484,Monsoon,Rice,66.90981408,50.04608215,115.1753824,6.203464173,4.806409122,Medium,1.584417439,0
Sandy,16.95371383,273.5500428,44.99448177,5.820502796,Summer,Barley,41.39924467,38.89656238,96.82032841,6.46298492,4.058304123,High,1.162892774,1
Clay,34.47569564,1383.430116,80.73907016,6.385714733,Monsoon,Rice,53.46344447,35.40861446,93.69972164,6.217431558,1.764022038,Low,2.007104965,1
Sandy,24.06874274,207.329589,46.58234313,5.566566622,Summer,Barley,43.81022095,98.03329375,36.49369687,6.397740652,1.793952043,Medium,2.333330217,0
Sandy,19.71480254,287.3736297,40.73646123,6.917750473,Summer,Barley,60.22710483,20.31513016,65.09626652,6.31009233,1.511845253,Low,1.414702714,0
Clay,28.46927619,1373.647992,87.52969159,7.39476491,Summer,Rice,43.56179569,78.74066263,131.8187017,6.857919345,1.925943553,Low,2.369693132,0
